"filename", "language", "SQL", "comment", "blank", "total"
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231110044348_init/migration.sql", "SQL", -60, -16, -24, -100
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231110044626_rename/migration.sql", "SQL", -66, -42, -37, -145
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231120035748_tamanho/migration.sql", "SQL", -12, -20, -6, -38
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231122033607_tabela/migration.sql", "SQL", -10, -3, -4, -17
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231122034947_pequena/migration.sql", "SQL", -8, -14, -5, -27
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231124043808_tabela/migration.sql", "SQL", -10, -3, -4, -17
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231124044018_id/migration.sql", "SQL", -1, -1, -1, -3
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231124195126_horario/migration.sql", "SQL", -1, -1, -1, -3
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_backend/prisma/migrations/20231205232809_init/migration.sql", "SQL", 70, 19, 28, 117
"Total", "-", -98, -81, -54, -233